participant,feel,pick_flip,win_lose,role,group
1,7,1,1,1,1
2,7,1,1,1,2
3,7,1,1,1,3
4,6,1,1,1,4
5,7,1,1,1,5
6,7,1,1,1,6
7,6,1,1,1,7
8,6,1,1,1,8
9,7,1,1,1,9
10,6,1,1,1,10
11,7,1,1,1,11
12,7,1,1,1,12
13,7,1,1,1,13
14,7,1,1,1,14
15,6,1,1,1,15
16,7,1,1,1,16
17,3,1,1,1,17
18,7,1,1,1,18
19,6,1,1,1,19
20,7,1,1,1,20
21,7,1,1,1,21
22,7,1,1,1,22
23,7,1,1,1,23
24,7,1,1,1,24
25,6,1,1,1,25
26,7,1,1,1,26
27,6,1,1,1,27
1,2,1,2,1,1
2,1,1,2,1,2
3,2,1,2,1,3
4,2,1,2,1,4
5,1,1,2,1,5
6,1,1,2,1,6
7,2,1,2,1,7
8,1,1,2,1,8
9,1,1,2,1,9
10,2,1,2,1,10
11,1,1,2,1,11
12,1,1,2,1,12
13,2,1,2,1,13
14,1,1,2,1,14
15,2,1,2,1,15
16,2,1,2,1,16
17,3,1,2,1,17
18,1,1,2,1,18
19,2,1,2,1,19
20,1,1,2,1,20
21,1,1,2,1,21
22,1,1,2,1,22
23,1,1,2,1,23
24,1,1,2,1,24
25,1,1,2,1,25
26,1,1,2,1,26
27,2,1,2,1,27
1,6,2,1,1,1
2,7,2,1,1,2
3,7,2,1,1,3
4,6,2,1,1,4
5,7,2,1,1,5
6,7,2,1,1,6
7,7,2,1,1,7
8,7,2,1,1,8
9,4,2,1,1,9
10,5,2,1,1,10
11,7,2,1,1,11
12,7,2,1,1,12
13,7,2,1,1,13
14,7,2,1,1,14
15,5,2,1,1,15
16,4,2,1,1,16
17,3,2,1,1,17
18,6,2,1,1,18
19,5,2,1,1,19
20,6,2,1,1,20
21,7,2,1,1,21
22,6,2,1,1,22
23,7,2,1,1,23
24,7,2,1,1,24
25,5,2,1,1,25
26,7,2,1,1,26
27,7,2,1,1,27
1,3,2,2,1,1
2,3,2,2,1,2
3,3,2,2,1,3
4,3,2,2,1,4
5,3,2,2,1,5
6,3,2,2,1,6
7,4,2,2,1,7
8,3,2,2,1,8
9,4,2,2,1,9
10,3,2,2,1,10
11,1,2,2,1,11
12,3,2,2,1,12
13,3,2,2,1,13
14,3,2,2,1,14
15,3,2,2,1,15
16,4,2,2,1,16
17,3,2,2,1,17
18,2,2,2,1,18
19,3,2,2,1,19
20,3,2,2,1,20
21,3,2,2,1,21
22,3,2,2,1,22
23,3,2,2,1,23
24,3,2,2,1,24
25,2,2,2,1,25
26,3,2,2,1,26
27,3,2,2,1,27
28,2,1,2,2,1
29,4,1,2,2,2
30,1,1,2,2,3
31,3,1,2,2,4
32,2,1,2,2,5
33,3,1,2,2,6
34,1,1,2,2,8
35,3,1,2,2,7
36,1,1,2,2,9
37,3,1,2,2,10
38,2,1,2,2,11
39,2,1,2,2,12
40,4,1,2,2,13
41,7,1,1,2,1
42,7,1,1,2,2
43,6,1,1,2,3
44,6,1,1,2,4
45,6,1,1,2,5
46,6,1,1,2,6
47,7,1,1,2,8
48,6,1,1,2,7
49,6,1,1,2,9
50,4,1,1,2,10
51,5,1,1,2,11
52,3,1,1,2,12
53,4,1,1,2,13
54,1,2,2,2,14
55,1,2,2,2,15
56,3,2,2,2,16
57,1,2,2,2,17
58,4,2,2,2,19
59,4,2,2,2,20
60,3,2,2,2,21
61,1,2,2,2,22
62,4,2,2,2,23
63,3,2,2,2,24
64,3,2,2,2,26
65,4,2,2,2,25
66,5,2,2,2,27
67,7,2,1,2,14
68,7,2,1,2,15
69,5,2,1,2,17
70,6,2,1,2,18
71,5,2,1,2,19
72,7,2,1,2,20
73,6,2,1,2,21
74,6,2,1,2,22
75,5,2,1,2,23
76,4,2,1,2,24
77,4,2,1,2,16
78,7,2,1,2,26
79,5,2,1,2,25
80,6,2,1,2,27
